a;b;c;t
380.17; 119.04; 577.04; 952.49
34.35; 122.42; 1076.53; 1068.42
224.68; 221.82; 211.32; 1708.61
107.63; 123.55; -34.66; 1099.46
81.95; 74.81; 1257.32; 641.42
87.68; 110.91; 1801.86; 927.00
335.00; 150.15; -434.13; 1140.59
22.94; 127.90; 634.15; 1123.04
161.25; 149.36; 2668.96; 1432.61
132.93; 132.86; 2482.56; 1075.79
363.30; 175.38; -143.76; 1593.17
285.69; 94.44; -470.86; 755.23
22.16; 63.35; -274.03; 546.10
67.57; 163.58; 2653.08; 1316.71
236.91; 102.91; 1484.29; 909.10
171.52; 216.67; 115.49; 1977.98
182.93; 73.82; -402.56; 626.75
52.23; 180.67; 1547.96; 1445.02
138.21; 61.61; 873.67; 525.29
389.23; 132.45; 637.17; 941.78
133.26; 104.69; -295.54; 967.12
91.74; 228.52; 2283.92; 1846.70
343.42; 173.18; 63.76; -2185.74
44.85; 144.81; 2771.96; 1062.42
47.56; 246.52; 2623.40; 2209.41
96.13; 44.39; 1697.55; 343.45
164.03; 92.86; 539.35; 827.14
345.48; 193.26; 1598.78; 1449.36
94.50; 124.14; 283.17; 1122.06
22.21; 82.43; 1371.31; 665.99
45.54; 144.73; 654.59; 954.55
94.49; 146.22; 2916.78; -2570.48
163.60; 41.78; 837.64; 338.32
280.13; 74.48; 238.75; 587.75
259.64; 198.40; 386.44; 1760.77
195.47; 159.76; 1876.49; 1198.79
286.45; 211.54; 663.08; 1551.42
168.89; 70.21; -226.05; 510.65
255.54; 122.23; 2269.93; 989.06
100.52; 227.62; 2389.28; 1951.05
319.32; 56.44; 2979.24; 507.03
44.00; 232.67; 1513.40; 2221.80
1.83; 212.11; 2114.68; 1826.88
355.86; 192.63; -164.77; 1506.60
52.20; 106.29; 2646.57; 791.71
18.37; 149.97; 1107.69; 1063.59
342.03; 144.83; 1281.10; 1235.32
186.03; 129.50; 851.81; 1012.88
99.75; 233.17; 795.80; 1793.44
15.85; 133.02; 1094.94; 1235.87
181.71; 190.50; 109.87; 1324.44
319.16; 191.74; 2061.65; 1546.35
114.18; 184.46; -62.64; 1498.91
381.93; 117.86; 2008.84; 921.58
218.62; 204.11; 2759.15; 1596.57
349.87; 224.41; 1890.22; 1920.52
337.23; 208.66; 2139.04; 1568.93
75.36; 112.06; -206.14; 909.92
28.13; 131.42; 2960.36; 1034.42
295.41; 102.17; 2373.29; 668.12
216.39; 172.84; 604.40; 1189.80
54.95; 206.45; 416.84; 1548.05
3.12; 103.76; 599.11; 828.99
276.25; 193.26; 2779.10; 1512.37
141.25; 208.12; 2010.85; 1922.28
76.74; 183.95; 166.65; 1465.45
39.24; 148.75; 571.93; 1301.84
172.78; 61.28; 996.93; 572.03
104.35; 116.27; 2636.21; 914.93
115.53; 228.90; 1130.41; 1680.95
122.66; 89.58; -451.04; 624.24
74.56; 214.42; -484.43; 1805.88
41.44; 150.36; 50.48; 1108.88
123.19; 126.02; 2479.53; 1060.93
243.31; 57.28; 2351.95; 490.30
356.31; 235.38; 1979.12; 2053.95
236.77; 73.22; 134.75; 628.77
177.40; 232.61; 391.69; 1903.87
298.06; 85.29; -162.62; 683.24
102.18; 163.20; 1562.78; 1319.84
202.82; 105.98; 2784.33; 1015.89
172.08; 233.07; -401.90; 1933.29
396.58; 186.84; 1631.49; 1293.02
363.34; 176.91; 2551.31; 1338.82
164.07; 181.27; 1967.17; 1329.89
314.74; 246.53; 1944.14; 2014.91
80.42; 81.77; -351.67; 683.17
88.67; 84.68; 2858.54; 679.44
385.45; 57.43; 830.70; 482.20
135.34; 212.12; 2836.75; 1834.41
263.42; 222.05; 2657.94; 1904.58
335.12; 145.11; 2485.42; 1020.23
226.56; 130.98; 2510.02; 1001.90
209.97; 101.43; 2761.05; 853.72
85.26; 77.44; 849.12; 657.20
71.82; 137.47; 944.05; 1205.71
204.94; 190.01; 2553.76; 1512.04
50.30; 244.43; 2691.90; 2084.93
336.77; 92.02; 1668.39; 866.60
262.36; 192.25; 1902.16; 1637.91
54.69; 198.56; 828.40; 1581.17
115.08; 66.73; 2539.38; 586.26
118.28; 224.33; 2772.27; 1404.79
356.20; 162.26; 788.58; 1440.54
317.97; 91.39; 2045.90; 721.87
98.31; 57.81; 2381.70; 445.24
111.85; 235.33; -203.71; 1701.66
307.26; 66.84; 2546.15; 545.82
303.93; 57.80; 2998.48; 480.50
81.78; 153.99; 1256.30; 1167.92
105.42; 208.16; 2655.71; 1621.88
353.19; 241.31; 1764.85; 1854.84
95.91; 149.08; 74.23; 1168.60
295.22; 239.16; 2292.34; 1922.74
162.88; 196.02; 800.88; 1537.55
123.25; 136.98; 447.35; 1250.34
64.93; 90.72; 1754.71; 652.00
65.06; 96.09; 1158.87; 886.43
129.81; 63.31; 1922.43; 513.33
228.43; 229.73; 2045.19; 1667.45
135.15; 43.53; 1938.84; 374.03
304.22; 150.26; 2006.43; 1084.56
171.78; 60.69; 1836.80; 510.44
154.38; 156.74; -209.19; 1105.04
199.26; 138.23; -101.42; 1172.20
324.68; 124.27; -468.95; 886.82
54.82; 74.19; 1649.18; 569.20
235.18; 200.66; 1465.73; 1660.55
258.61; 70.32; 880.90; 516.54
389.16; 119.21; -142.64; 916.77
251.52; 190.65; 2844.52; 1765.03
204.59; 219.41; 1981.20; 1602.48
363.49; 191.58; 2412.85; 1601.10
317.55; 117.79; 2304.46; 1041.88
86.54; 181.36; 372.62; 1266.93
267.27; 188.88; 628.35; 1651.26
243.54; 174.39; 385.18; 1445.97
391.27; 40.75; 1484.91; 2627.26
8.07; 145.25; 2763.66; 1307.51
279.94; 179.12; -351.29; 1501.17
328.19; 46.91; 2375.10; 416.70
17.88; 65.38; 2604.29; 495.48
347.20; 44.33; 958.28; 367.91
248.71; 184.40; 2505.47; 1311.28
387.39; 210.49; 753.94; 1859.60
368.64; 196.70; -463.13; 1423.12
5.99; 101.05; 2078.24; 800.27
299.29; 90.19; 1568.07; 722.77
117.07; 167.72; -440.05; 1317.07
183.76; 85.71; 1018.23; 693.71
53.23; 156.04; 804.20; 1261.60
195.03; 98.76; 16.46; 784.14
245.62; 164.92; 1677.66; 1459.01
47.65; 242.78; 687.23; 2331.00
348.58; 41.97; 2894.82; 1477.72
258.13; 147.47; -26.54; 1238.53
38.84; 76.25; -462.58; 606.97
209.11; 108.07; -264.12; 912.87
239.74; 182.12; 137.02; 1347.57
292.31; 180.16; 964.25; 1668.88
182.35; 124.71; -336.55; 1062.10
318.36; 62.22; 2432.11; 436.41
263.00; 121.20; 985.13; 775.65
398.31; 249.38; 693.60; 1960.23
353.41; 190.03; -327.66; 1491.14
157.68; 231.90; 2690.48; 2060.12
307.72; 47.41; 2573.11; 366.72
350.21; 162.91; 2875.68; 1463.93
115.66; 228.99; 2074.79; 1770.70
288.53; 154.64; 2216.98; 1218.18
312.94; 158.42; 1009.97; 1504.26
335.43; 107.78; 2159.30; 761.23
325.31; 86.63; 665.63; 617.68
216.30; 100.57; 861.88; 679.44
308.33; 231.45; 499.86; 1631.52
203.80; 247.29; -335.74; 1836.02
313.72; 116.55; 296.82; 983.68
228.25; 66.41; 2554.57; 559.32
285.43; 236.37; -408.00; 1830.64
112.38; 192.54; 1762.81; 1507.83
271.27; 236.11; 41.46; 1766.41
105.66; 150.76; 2330.55; 1179.58
365.66; 169.14; 2632.21; 1207.18
23.27; 66.76; 2854.53; 532.09
240.04; 180.16; 250.34; 1516.19
123.93; 100.75; 1347.18; 753.53
320.40; 245.72; 2798.63; 1925.20
153.53; 52.10; 2244.50; 430.60
152.99; 118.20; 2508.50; 1028.56
316.98; 203.28; 2440.21; 1562.01
271.12; 223.97; 2803.81; 2052.05
93.49; 52.96; 1777.97; 392.42
18.89; 108.97; 2455.07; 989.14
96.18; 198.42; 2347.53; 1421.40
84.09; 40.10; 2577.14; 267.53
36.91; 155.77; 2156.59; 3466.01
389.90; 194.31; 1655.73; 1408.56
282.46; 248.11; 569.72; 1738.10
348.76; 95.98; 1381.40; 917.57
196.20; 208.76; -152.77; 1532.15
285.21; 81.71; 236.06; 635.41
58.68; 204.51; 2938.14; 1571.71
107.66; 100.22; 2651.93; 722.91
128.89; 96.52; 542.10; 623.10
171.02; 222.34; 804.46; 1623.90
191.97; 92.28; 153.01; 671.03
163.91; 40.63; 538.27; 336.78
79.69; 49.09; 1816.36; 384.34
156.69; 213.03; 2831.37; 1748.51
55.95; 105.55; 1199.62; 923.84
1.50; 100.08; 558.57; 856.01
331.38; 72.60; 1980.70; 567.29
32.19; 243.28; 1660.74; 1783.83
44.81; 77.99; 1585.93; 642.51
336.54; 216.93; 2368.21; 1927.63
68.48; 227.94; 2826.49; 2053.95
11.10; 175.03; 408.08; 1315.93
101.26; 214.73; 683.17; 1730.33
341.85; 81.09; 2193.18; 673.24
219.55; 73.04; 1699.69; 606.62
239.47; 230.54; 545.49; 1989.93
142.79; 168.54; 1738.27; 1204.52
34.00; 141.32; 606.32; 1070.45
394.89; 183.30; 2826.49; 1503.48
290.37; 148.44; 1362.93; 1225.44
9.71; 115.01; 899.99; 784.30
345.80; 106.56; 1866.06; 807.48
161.23; 138.84; 152.22; 923.74
336.10; 155.49; -211.24; 1323.73
77.60; 225.90; 551.88; 1542.44
145.04; 189.86; -367.72; 1376.39
234.41; 123.23; -326.03; 940.73
95.34; 140.27; 1136.47; 1000.80
332.76; 116.30; 1697.26; 772.74
355.43; 94.36; 1404.60; 757.41
279.85; 214.73; 2352.34; 1881.71
378.70; 229.27; 1366.53; 1880.40
177.76; 135.48; 12.70; 1086.44
125.65; 106.96; 280.63; 863.50
257.74; 188.21; -145.23; 1671.64
278.70; 216.52; 2083.00; 1946.91
71.62; 146.94; 2646.37; 1098.52
344.74; 126.65; -236.46; 885.72
139.38; 240.95; 1765.12; 1978.65
152.75; 118.49; 1402.60; 967.85
246.09; 46.51; 1153.17; 402.09
366.46; 225.22; -388.94; 1812.94
34.12; 166.80; 472.20; 1490.40
350.24; 161.66; 1385.82; 1112.43
373.63; 187.04; 2475.42; 1740.32
1.68; 219.54; 206.24; 1837.42
25.09; 181.80; -311.70; 1401.58
272.97; 192.71; 2415.42; 1739.74
336.26; 150.44; 1084.05; 1152.49
169.66; 82.86; 1392.47; 2647.11
384.30; 211.18; 2735.75; 1741.33
196.43; 124.57; 2177.64; 2621.03
80.46; 86.96; 2046.09; 683.59
212.66; 183.62; 1468.06; 1508.90
336.34; 154.81; -393.98; 1331.02
331.02; 203.20; 2969.47; 1602.54
69.88; 166.49; 1802.05; 1311.37
108.06; 163.87; 620.00; 1472.86
239.73; 147.31; 1122.45; 1233.30
159.87; 210.05; 1600.69; 1713.93
127.95; 217.88; -53.96; 1794.25
136.17; 246.05; -404.31; 1915.40
64.91; 168.99; 521.50; 1072.14
47.70; 165.89; 375.22; 957.26
302.40; 62.61; 1393.17; 522.49
89.24; 74.77; 845.99; 556.76
5.64; 96.48; 1236.43; 739.00
389.78; 217.79; 369.54; 1680.48
387.44; 46.91; 524.94; 401.29
272.25; 239.26; 2455.12; 2391.74
80.41; 248.58; 269.61; 2094.57
263.12; 91.92; 476.03; 693.85
60.60; 88.82; 100.03; 568.70
363.70; 115.06; -165.39; 846.42
211.06; 147.33; 59.58; 1201.34
317.34; 159.95; 735.82; 1218.15
294.05; 122.53; -169.92; 1010.87
234.11; 207.65; 2169.88; 1749.22
165.55; 169.85; 1768.11; 1134.29
283.10; 98.00; -457.29; 875.81
356.39; 203.83; 488.62; 1687.85
361.26; 108.10; -482.96; 896.92
114.07; 169.42; -125.19; 1556.96
78.89; 70.25; -39.10; 506.76
126.74; 234.04; 2046.58; 1724.98
199.42; 213.03; -486.73; 1814.54
173.20; 120.38; 1260.36; 1056.21
79.41; 240.25; 2580.59; 1942.77
205.25; 181.08; 683.85; 1614.33
96.02; 135.96; -290.78; 1267.46
244.25; 151.23; 969.85; 1105.07
137.10; 88.78; 459.97; 758.33
290.54; 72.67; 2853.45; 561.91
25.17; 95.87; 2498.99; 1201.75
189.85; 79.83; 2316.40; 665.73
159.23; 137.99; -161.36; 1207.73
380.14; 234.96; 2729.28; 1771.46
255.95; 221.66; 349.56; 1668.52
112.81; 159.24; 2832.67; 1220.39
66.67; 198.03; 2687.95; 1634.72
233.46; 59.67; 2804.10; 393.96
